time , r , theta , vr , vtheta , ar  , atheta
183.90202,2.0,60.328846,0.0,0.35351172,-0.0,1.8954278E-6
184.00203,2.0,60.3642,0.0,0.35353178,-0.0,4.1663648E-6
184.10204,2.0,60.399555,0.0,0.3535316,-0.0,2.1606684E-6
184.20204,2.0,60.43491,0.0,0.35354036,-0.0,2.1785497E-6
184.30205,2.0,60.470264,0.0,0.35352862,-0.0,1.3023615E-6
184.40205,2.0,60.50562,0.0,0.35353103,-0.0,2.476573E-6
184.50206,2.0,60.540974,0.0,0.35354465,-0.0,2.2351742E-6
184.60207,2.0,60.57633,0.0,0.35355058,-0.0,8.732081E-7
184.70207,2.0,60.611683,0.0,0.35354438,-0.0,2.8014185E-7
184.80208,2.0,60.647038,0.0,0.3535445,-0.0,9.0003016E-7
184.90208,2.0,60.682392,0.0,0.3535403,-0.0,8.8810924E-7
185.00209,2.0,60.717747,0.0,0.35353038,-0.0,1.308322E-6
185.1021,2.0,60.7531,0.0,0.3535298,-0.0,2.3007394E-6
185.2021,2.0,60.788456,0.0,0.35353094,-0.0,2.3573637E-6
185.30211,2.0,60.82381,0.0,0.35353744,-0.0,2.244115E-6
185.40211,2.0,60.859165,0.0,0.35355031,-0.0,1.5944242E-6
185.50212,2.0,60.89452,0.0,0.3535525,-0.0,3.0696393E-7
185.60213,2.0,60.929874,0.0,0.35355568,-0.0,8.940697E-8
185.70213,2.0,60.96523,0.0,0.35356325,-0.0,-2.2947789E-7
185.80214,2.0,61.000584,0.0,0.35353556,-0.0,-9.864569E-7
185.90215,2.0,61.03594,0.0,0.35353172,-0.0,1.7821789E-6
186.00215,2.0,61.07129,0.0,0.35352603,-0.0,2.166629E-6
186.10216,2.0,61.106644,0.0,0.3535365,-0.0,2.7358533E-6
186.20216,2.0,61.142,0.0,0.35354054,-0.0,1.6897917E-6
186.30217,2.0,61.177353,0.0,0.35354125,-0.0,1.2844802E-6
186.40218,2.0,61.212704,0.0,0.35351166,-0.0,1.2129545E-6
186.50218,2.0,61.248055,0.0,0.35351953,-0.0,4.172325E-6
186.60219,2.0,61.283405,0.0,0.35351336,-0.0,3.3855438E-6
186.7022,2.0,61.318756,0.0,0.3535161,-0.0,4.002452E-6
186.8022,2.0,61.354107,0.0,0.3535006,-0.0,3.7282705E-6
186.9022,2.0,61.389458,0.0,0.35350144,-0.0,5.2779915E-6
187.00221,2.0,61.42481,0.0,0.35349408,-0.0,5.194545E-6
187.10222,2.0,61.46016,0.0,0.35351157,-0.0,5.930662E-6
187.20222,2.0,61.49551,0.0,0.35351786,-0.0,4.181266E-6
187.30223,2.0,61.53086,0.0,0.3535111,-0.0,3.552437E-6
187.40224,2.0,61.56621,0.0,0.35351533,-0.0,4.22895E-6
187.50224,2.0,61.601566,0.0,0.35353228,-0.0,3.8057567E-6
187.60225,2.0,61.63692,0.0,0.35353267,-0.0,2.1100045E-6
187.70226,2.0,61.67227,0.0,0.3535122,-0.0,2.0712614E-6
